Enter name of dump file: f got: fs, but expected |?
erlianite got: erlianites, but expected |?
eskebornite got: eskebornites, but expected |?
ershovite got: ershovites, but expected |?
eclarite got: eclarites, but expected |?
edgarite got: edgarites, but expected |?
eggletonite got: eggletonites, but expected |?
eglestonite got: eglestonites, but expected |?
eriochalcite got: eriochalcites, but expected |?
ernstite got: ernstites, but expected |?
vasilite got: vasilites, but expected |?
veenite got: veenites, but expected |?
versiliaite got: versiliaites, but expected |?
vitimite got: vitimites, but expected |?
vincentite got: vincentites, but expected |?
vertumnite got: vertumnites, but expected |?
vernadite got: vernadites, but expected |?
vaughnite got: vaughnites, but expected |?
vasilyevite got: vasilyevites, but expected |?
vozhminite got: vozhminites, but expected |?
srebrodolskite got: srebrodolskites, but expected |?
stannomicrolite got: stannomicrolites, but expected |?
stannopalladinite got: stannopalladinites, but expected |?
stannoidite got: stannoidites, but expected |?
shcherbinaite got: shcherbinaites, but expected |?
rankinite got: rankinites, but expected |?
berdesinskiite got: berdesinskiites, but expected |?
berezanskite got: berezanskites, but expected |?
bilibinskite got: bilibinskites, but expected |?
bicchulite got: bicchulites, but expected |?
biehlite got: biehlites, but expected |?
bismutomicrolite got: bismutomicrolites, but expected |?
bismutopyrochlore got: bismutopyrochlores, but expected |?
bismutostibiconite got: bismutostibiconites, but expected |?
bismutotantalite got: bismutotantalites, but expected |?
bityite got: bityites, but expected |?
aravaipaite got: aravaipaites, but expected |?
amarillite got: amarillites, but expected |?
boleite got: boleites, but expected |?
sosedkoite got: sosedkoites, but expected |?
spionkopite got: spionkopites, but expected |?
souzalite got: souzalites, but expected |?
spertiniite got: spertiniites, but expected |?
sphaerobismoite got: sphaerobismoites, but expected |?
swamboite got: swamboites, but expected |?
spencerite got: spencerites, but expected |?
tacharanite got: tacharanites, but expected |?
swinefordite got: swinefordites, but expected |?
switzerite got: switzerites, but expected |?
sopcheite got: sopcheites, but expected |?
soucekite got: soucekites, but expected |?
solongoite got: solongoites, but expected |?
stalderite got: stalderites, but expected |?
spheniscidite got: spheniscidites, but expected |?
stanfieldite got: stanfieldites, but expected |?
starkeyite got: starkeyites, but expected |?
sterryite got: sterryites, but expected |?
stepanovite got: stepanovites, but expected |?
tuscanite got: tuscanites, but expected |?
titantaramellite got: titantaramellites, but expected |?
spriggite got: spriggites, but expected |?
stibarsen got: stibarsens, but expected |?
sodicanthophyllite got: sodicanthophyllites, but expected |?
steigerite got: steigerites, but expected |?
sodicgedrite got: sodicgedrites, but expected |?
sorbyite got: sorbyites, but expected |?
stenhuggarite got: stenhuggarites, but expected |?
stewartite got: stewartites, but expected |?
stibiotantalite got: stibiotantalites, but expected |?
stibiocolumbite got: stibiocolumbites, but expected |?
stibiomicrolite got: stibiomicrolites, but expected |?
stibiobetafite got: stibiobetafites, but expected |?
tokkoite got: tokkoites, but expected |?
stranskiite got: stranskiites, but expected |?
strengite got: strengites, but expected |?
stistaite got: stistaites, but expected |?
stoppaniite got: stoppaniites, but expected |?
straczekite got: straczekites, but expected |?
treasurite got: treasurites, but expected |?
strakhovite got: strakhovites, but expected |?
strashimirite got: strashimirites, but expected |?
strelkinite got: strelkinites, but expected |?
stokesite got: stokesites, but expected |?
stoiberite got: stoiberites, but expected |?
stringhamite got: stringhamites, but expected |?
stillwaterite got: stillwaterites, but expected |?
sonolite got: sonolites, but expected |?
sturtite got: sturtites, but expected |?
taikanite got: taikanites, but expected |?
pot scrubber brush got: pot scrubber brushs, but expected |es
takanelite got: takanelites, but expected |?
teepleite got: teepleites, but expected |?
stanekite got: stanekites, but expected |?
tucekite got: tucekites, but expected |?
takovite got: takovites, but expected |?
tamaite got: tamaites, but expected |?
takedaite got: takedaites, but expected |?
suredaite got: suredaites, but expected |?
stibiocolusite got: stibiocolusites, but expected |?
stibivanite got: stibivanites, but expected |?
tancoite got: tancoites, but expected |?
tantalcarbide got: tantalcarbides, but expected |?
stetefeldtite got: stetefeldtites, but expected |?
messelite got: messelites, but expected |?
metaborite got: metaborites, but expected |?
metacalciouranoite got: metacalciouranoites, but expected |?
metahewettite got: metahewettites, but expected |?
mroseite got: mroseites, but expected |?
liberite got: liberites, but expected |?
litidionite got: litidionites, but expected |?
loseyite got: loseyites, but expected |?
kovdorskite got: kovdorskites, but expected |?
georgbokiite got: georgbokiites, but expected |?
fervanite got: fervanites, but expected |?
fillowite got: fillowites, but expected |?
ferroglaucophane got: ferroglaucophanes, but expected |?
danbaite got: danbaites, but expected |?
damaraite got: damaraites, but expected |?
duttonite got: duttonites, but expected |?
dypingite got: dypingites, but expected |?
dyscrasite got: dyscrasites, but expected |?
faheyite got: faheyites, but expected |?
deliensite got: deliensites, but expected |?
delhayelite got: delhayelites, but expected |?
atlasovite got: atlasovites, but expected |?
arsenocrandallite got: arsenocrandallites, but expected |?
bellingerite got: bellingerites, but expected |?
aurivilliusite got: aurivilliusites, but expected |?
swow got: swows, but expected |?
bergslagite got: bergslagites, but expected |?
balipholite got: balipholites, but expected |?
arsenuranospathite got: arsenuranospathites, but expected |?
aramayoite got: aramayoites, but expected |?
balyakinite got: balyakinites, but expected |?
averievite got: averievites, but expected |?
brackebuschite got: brackebuschites, but expected |?
bararite got: bararites, but expected |?
barberiite got: barberiites, but expected |?
bannisterite got: bannisterites, but expected |?
benavidesite got: benavidesites, but expected |?
beraunite got: beraunites, but expected |?
bradaczekite got: bradaczekites, but expected |?
belyankinite got: belyankinites, but expected |?
brianroulstonite got: brianroulstonites, but expected |?
brianyoungite got: brianyoungites, but expected |?
bleasdaleite got: bleasdaleites, but expected |?
bonaccordite got: bonaccordites, but expected |?
banalsite got: banalsites, but expected |?
bellbergite got: bellbergites, but expected |?
bayldonite got: bayldonites, but expected |?
barbosalite got: barbosalites, but expected |?
borodaevite got: borodaevites, but expected |?
boromuscovite got: boromuscovites, but expected |?
braggite got: braggites, but expected |?
lautenthalite got: lautenthalites, but expected |?
leucosphenite got: leucosphenites, but expected |?
konyaite got: konyaites, but expected |?
koritnigite got: koritnigites, but expected |?
kostylevite got: kostylevites, but expected |?
keystoneite got: keystoneites, but expected |?
kotulskite got: kotulskites, but expected |?
kimrobinsonite got: kimrobinsonites, but expected |?
kuksite got: kuksites, but expected |?
krasnovite got: krasnovites, but expected |?
kettnerite got: kettnerites, but expected |?
kudriavite got: kudriavites, but expected |?
leiteite got: leiteites, but expected |?
lemanskiite got: lemanskiites, but expected |?
bariosincosite got: bariosincosites, but expected |?
bariomicrolite got: bariomicrolites, but expected |?
brinrobertsite got: brinrobertsites, but expected |?
beryllite got: beryllites, but expected |?
berzeliite got: berzeliites, but expected |?
berzelianite got: berzelianites, but expected |?
benyacarite got: benyacarites, but expected |?
bertossaite got: bertossaites, but expected |?
bannermanite got: bannermanites, but expected |?
berthierine got: berthierines, but expected |?
brannockite got: brannockites, but expected |?
fedorovskite got: fedorovskites, but expected |?
derriksite got: derriksites, but expected |?
ferropargasite got: ferropargasites, but expected |?
foshagite got: foshagites, but expected |?
filatovite got: filatovites, but expected |?
parusia got: parusias, but expected |?
palarstanide got: palarstanides, but expected |?
marshite got: marshites, but expected |?
maldonite got: maldonites, but expected |?
hastite got: hastites, but expected |?
lithiophosphate got: lithiophosphates, but expected |?
ravatite got: ravatites, but expected |?
kolymite got: kolymites, but expected |?
bunsenite got: bunsenites, but expected |?
gupeiite got: gupeiites, but expected |?
carlinite got: carlinites, but expected |?
tobelite got: tobelites, but expected |?
chernykhite got: chernykhites, but expected |?
phosphofibrite got: phosphofibrites, but expected |?
perroudite got: perroudites, but expected |?
pellouxite got: pellouxites, but expected |?
mitscherlichite got: mitscherlichites, but expected |?
metaschoderite got: metaschoderites, but expected |?
lithiomarsturite got: lithiomarsturites, but expected |?
petarasite got: petarasites, but expected |?
geerite got: geerites, but expected |?
seifertite got: seifertites, but expected |?
niobocarbide got: niobocarbides, but expected |?
cryptomelane got: cryptomelanes, but expected |?
humboldtine got: humboldtines, but expected |?
metastibnite got: metastibnites, but expected |?
nickelphosphide got: nickelphosphides, but expected |?
athabascaite got: athabascaites, but expected |?
tolbachite got: tolbachites, but expected |?
krutaite got: krutaites, but expected |?
amstallite got: amstallites, but expected |?
anapaite got: anapaites, but expected |?
anduoite got: anduoites, but expected |?
ankangite got: ankangites, but expected |?
apachite got: apachites, but expected |?
apuanite got: apuanites, but expected |?
argentopyrite got: argentopyrites, but expected |?
armangite got: armangites, but expected |?
arseniopleite got: arseniopleites, but expected |?
arseniosiderite got: arseniosiderites, but expected |?
arsenoclasite got: arsenoclasites, but expected |?
arsenopalladinite got: arsenopalladinites, but expected |?
arsenpolybasite got: arsenpolybasites, but expected |?
arsentsumebite got: arsentsumebites, but expected |?
arsenuranylite got: arsenuranylites, but expected |?
artsmithite got: artsmithites, but expected |?
arupite got: arupites, but expected |?
arzakite got: arzakites, but expected |?
asbecasite got: asbecasites, but expected |?
ashburtonite got: ashburtonites, but expected |?
ashoverite got: ashoverites, but expected |?
aspidolite got: aspidolites, but expected |?
asselbornite got: asselbornites, but expected |?
attakolite got: attakolites, but expected |?
aurorite got: aurorites, but expected |?
avicennite got: avicennites, but expected |?
baksanite got: baksanites, but expected |?
balangeroite got: balangeroites, but expected |?
balkanite got: balkanites, but expected |?
